class,trusted_quality_pass,trusted_sn_pass,trusted_sn_fail_count,trusted_sn_fail_reason,trusted_no_sn_result,unverified_sn_pass,effective_pool,tier
thomson's gazelle,461,337,124,match_level_no_match,0,0,461,2
eurasian badger,460,76,384,match_level_no_match,0,0,460,2
puma,452,181,271,match_level_no_match,0,0,452,2
ring-tailed lemur,452,0,452,match_level_class,0,0,452,2
blackbuck,448,0,448,match_level_no_match,0,0,448,2
giant otter,442,112,330,match_level_no_match,0,0,442,2
eurasian otter,434,26,408,match_level_no_match,0,0,434,2
sable antelope,426,97,329,family_mismatch_high_confidence,0,0,426,2
dromedary camel,420,108,309,match_level_order,3,0,420,2
meerkat,412,1,411,match_level_no_match,0,0,412,2
dingo,16,10,6,low_speciesnet_confidence,0,387,403,2
bushbuck,391,181,210,match_level_order,0,0,391,2
american badger,389,58,330,match_level_no_match,1,0,389,2
red kangaroo,344,35,309,match_level_class,0,36,380,2
glaucomys species,372,12,360,match_level_no_match,0,0,372,2
quokka,366,18,348,match_level_class,0,0,366,2
snow leopard,53,31,22,match_level_no_match,0,311,364,2
giant anteater,355,114,241,match_level_no_match,0,0,355,2
domestic goat,183,74,109,family_mismatch_high_confidence,0,154,337,2
chimpanzee,335,30,305,match_level_no_match,0,0,335,2
baird's tapir,332,61,271,match_level_no_match,0,0,332,2
tayra,317,66,251,match_level_no_match,0,0,317,2
red panda,197,36,161,match_level_no_match,0,100,297,2
lowland tapir,294,100,194,match_level_class,0,0,294,2
kob,289,79,210,family_mismatch_high_confidence,0,0,289,2
roan antelope,278,43,235,match_level_no_match,0,0,278,2
leopardus species,271,57,214,match_level_no_match,0,0,271,2
european bison,265,82,183,family_mismatch_high_confidence,0,0,265,2
nine-banded armadillo,240,110,130,match_level_no_match,0,0,240,2
american mink,194,16,178,match_level_no_match,0,45,239,2
old world porcupine family,238,55,183,match_level_no_match,0,0,238,2
raccoon dog,232,3,229,match_level_no_match,0,0,232,2
bat-eared fox,228,18,210,low_speciesnet_confidence,0,0,228,2
genet genus,227,10,216,match_level_no_match,1,0,227,2
kirk's dik-dik,226,120,106,match_level_order,0,0,226,2
grevy's zebra,225,185,40,not_in_225_classes,0,0,225,2
dhole,202,46,156,match_level_class,0,0,202,2
spectacled bear,201,21,180,match_level_no_match,0,0,201,2
eurasian lynx,200,107,93,match_level_no_match,0,0,200,2
serval,196,85,111,family_mismatch_high_confidence,0,0,196,2
ringtail,186,10,176,match_level_no_match,0,0,186,2
gerenuk,180,71,109,family_mismatch_high_confidence,0,0,180,2
patas monkey,179,12,167,match_level_no_match,0,0,179,2
giant panda,125,41,84,match_level_no_match,0,47,172,2
caracal,171,16,155,match_level_no_match,0,0,171,2
black wildebeest,170,51,119,family_mismatch_high_confidence,0,0,170,2
canada lynx,166,47,119,match_level_no_match,0,0,166,2
kinkajou,160,2,158,match_level_no_match,0,0,160,2
walrus,158,0,158,match_level_no_match,0,0,158,2
water deer,152,16,136,family_mismatch_high_confidence,0,0,152,2
fisher,131,32,99,match_level_no_match,0,0,131,2
black-backed jackal,127,72,55,low_speciesnet_confidence,0,0,127,2
yak,127,44,83,match_level_class,0,0,127,2
wild cat,126,54,72,match_level_no_match,0,0,126,2
cephalophus species,124,17,107,match_level_order,0,0,124,2
sloth bear,120,15,105,family_mismatch_high_confidence,0,0,120,2
callicebus genus,119,0,119,match_level_no_match,0,0,119,2
leopard cat,105,27,78,match_level_no_match,0,0,105,2
striped hyaena,105,22,83,match_level_order,0,0,105,2
asiatic black bear,104,35,69,match_level_no_match,0,0,104,2
ocelot,99,43,56,match_level_no_match,0,0,99,1
honey badger,97,6,91,match_level_no_match,0,0,97,1
sun bear,83,18,65,low_speciesnet_confidence,0,14,97,1
maned wolf,88,35,53,match_level_no_match,0,0,88,1
asiatic wild ass,84,7,77,match_level_class,0,0,84,1
fossa,79,6,73,low_speciesnet_confidence,0,0,79,1
wolverine,69,10,59,match_level_no_match,0,0,69,1
brown hyaena,68,5,63,low_speciesnet_confidence,0,0,68,1
red brocket,62,18,44,family_mismatch_high_confidence,0,0,62,1
pinniped clade,55,0,55,match_level_no_match,0,0,55,1
aardvark,54,0,54,match_level_class,0,0,54,1
mangabeys genus,54,12,42,match_level_no_match,0,0,54,1
red river hog,53,16,37,low_speciesnet_confidence,0,0,53,1
pangolin family,52,2,50,match_level_no_match,0,0,52,1
saiga,50,0,50,match_level_no_match,0,0,50,1
aardwolf,47,9,38,family_mismatch_high_confidence,0,0,47,1
bongo,39,11,28,family_mismatch_high_confidence,0,0,39,1
spilogale species,37,2,35,match_level_no_match,0,0,37,1
binturong,36,0,36,match_level_no_match,0,0,36,1
red-necked wallaby,30,15,15,match_level_class,0,0,30,1
aye-aye,29,0,29,match_level_no_match,0,0,29,1
african civet,28,6,22,match_level_order,0,0,28,1
clouded leopard,25,0,25,family_mismatch_high_confidence,0,0,25,1
drill,23,2,21,low_speciesnet_confidence,0,0,23,1
malay tapir,21,9,12,match_level_no_match,0,0,21,1
hog badger genus,18,3,15,match_level_class,0,0,18,1
domestic pig,15,10,5,match_level_no_match,0,0,15,1
giant armadillo,11,2,9,match_level_no_match,0,0,11,1
mouflon,6,2,4,family_mismatch_high_confidence,0,0,6,1
human,5,0,5,match_level_no_match,0,0,5,1
